,artist_id,track_id,artist_genres,lyrics
0,3MZsBdqDrRTJihTHQrO6Dq,6xGruZOHLs39ZbVccQTuPZ,['viral pop'],"UsLyrics[운문 1]의 Glimpse.
그녀는 내 어깨는 세상어요.
혹시 그게 움직이기 어려웠다.
그녀는 무지개로 변할 거다.
내가 파란 색에 살고 있었다.
그러면 왜, 만약 그녀가 심하게 완벽해요.
나는 여전히 그것이 당신이..를 원하십니까?
완벽한 것 workin'를 의미하지 않는다.
그래서?(오) 할 수 있습니다.

[Pre-Chorus]
언제 내 앞에 보이지 않다.
제 생각에
[코러스].
왜냐하면 나는 때때로 그녀의 눈으로 바라본다.
그리고가 우리를 힐끗 보다는 말이야.
그리고 나는 그녀의 터치에 속아 넘어가 노력한다.
그러나 나는 ' 있는 그대로읠까요.
난 괜찮아 나가고 움직였다고 말했습니다가 말했다.
내가 여기 그녀의 품에 시간 지나고 있는 겁니다.
Hopin'나는 우리의 일단을 발견할 것이다.

[2 절]
그는 영원할 말해 줘.
그가 내가 하는 방법 웃음이 나나요?
당신의 이야기를 이 부분?
제가 살지 않았다.
어쩌면 언젠가, 당신은 외로움을 느낄 거야.
그리고 그의 눈에 보면 엿볼 것이다.
아마도 당신은 slippin' 서두르지 않고 다시 나를 찾기 시작할 것입니다.

[Pre-Chorus]
언제 내 앞에 보이지 않다.
제 생각에

[코러스].
왜냐하면 나는 때때로 그녀의 눈으로 바라본다.
그리고가 우리를 힐끗 보다는 말이야.
그리고 나는 그녀의 터치에 속아 넘어가 노력한다.
그러나 나는 ' 있는 그대로읠까요.
난 괜찮아 나가고 움직였다고 말했습니다가 말했다.
내가 여기 그녀의 품에 시간 지나고 있는 겁니다.
Hopin'나는 우리의 일단을 발견할 것이다.
[브리지]
오.
Ooh-ooh-ooh
오.
Ooh-ooh-ooh

[코러스].
왜냐하면 나는 때때로 그녀의 눈으로 바라본다.
그리고가 우리를 힐끗 보다는 말이야.
그리고 나는 그녀의 터치에 속아 넘어가 노력한다.
그러나 나는 ' 있는 그대로읠까요.
난 괜찮아 나가고 움직였다고 말했습니다가 말했다.
내가 여기 그녀의 품에 시간 지나고 있는 겁니다.
Hopin'나는us116Embed의 일단을 발견할 것이다."
1,0LcJLqbBmaGUft1e9Mm8HV,2MSJBd6NyTh3kN3PdqkRa3,"['europop', ' swedish pop']","댄싱퀸 가사[합창]
춤도 출 수 있고, 춤도 출 수 있어
네 인생에서 가장 즐거운 시간을 보내는 것
오, 저 여자 좀 봐, 저 장면 좀 봐
춤추는 여왕을 파헤치다

[1 절]
금요일 밤 그리고 불빛이 낮습니다.
갈 곳을 찾고 있다.
그들이 올바른 음악을 연주하고, 그네를 타는 곳
왕을 찾으러 오시는군요
누구라도 그런 사람이 될 수 있어
밤은 젊고 음악은 높다.
락음악만 조금 있으면 다 괜찮아.
춤추고 싶으시군요
그리고 기회가 되면
[코러스].
당신은 춤추는 여왕입니다.
젊고 달콤해, 겨우 열일곱이야.
댄싱퀸
탬버린의 박자를 느껴봐, 오 그래
춤도 출 수 있고, 춤도 출 수 있어
네 인생에서 가장 즐거운 시간을 보내는 것
오, 저 여자 좀 봐, 저 장면 좀 봐
춤추는 여왕을 파헤치다

[2 절]
넌 티저야, 그걸 켜면 돼
불타게 놔두면 넌 사라져
다른 사람을 찾는다면, 누구나 할 것이다.
춤추고 싶으시군요
그리고 기회가 되면

[코러스].
당신은 춤추는 여왕입니다.
젊고 달콤해, 겨우 열일곱이야.
댄싱퀸
탬버린의 박자를 느껴봐, 오 그래
춤도 출 수 있고, 춤도 출 수 있어
네 인생에서 가장 즐거운 시간을 보내는 것
오, 저 여자 좀 봐, 저 장면 좀 봐
춤추는 여왕을 파헤치다
[아웃트로]
춤추는 여왕을 파헤치는 46 엠베드"
2,4q3ewBCX7sLwd24euuV69X,6Sq7ltF9Qa7SNFBsV5Cogx,"['latin', ' reggaeton', ' trap latino']","나 포르투 보니토 가사[Letrade ""Me Porto Bonito""]

[인트로: 배드 버니 & 첸초 콜레오네]
응, 응, 응, 응, 응
엔라과구아 세퀘돌로르 데투 향수
투에레 우나 벨라카, 요 소이 운 벨라코, 그러니 ' loke no'une
엘라사베케스타부엔노아노아스만
시요후에라 투가토, 수비에라 우나포토 로스 비에른'y los lune' (So)

[코로: 첸초 콜레오네 & 배드 버니]
파케토엘문도베아로리카케투스타, 케투스타'
나는 오래 전에 심장에 귀를 기울였다
그리고 하루하루를 보내며, 저는 여러분에 대해 생각합니다. 냄새 (-도)
이제 이성을 사용할 때가 왔다
늦기 전에 나는 무심코 떠날 것이다 엔도(엔도)
해가 뜨고 액체가 가라앉기 전에밭갈이꾼
브레이크 없이 가다가 자제력을 잃도록 해
우리 둘이 애무하고 있잖아o''
그 와중에 작별 인사도 없이
그리고 그 귀여운 눈으로 날 바라봐
저는 괜찮아요.
나는 오늘 다시 태어났다
오래간만입니다. 아무도 안 잡았어요. 손끝
""오랜만입니다."" ""사랑해"" (사랑해)
하지만 넌 날 얽어매고 난 내 몸을 감싸고
길을 가다가 길을 잃었어요.
네 눈을 보고 내 눈빛이 달라졌어
안녕히 계십시오 Good-bye;
아니, 없어.
경로에서 Chocamo'
네 영혼은 내가 연결시켜 주는 것이다
괜찮아, 완벽할 필요는 없어, 아니야.
여기에는 죄가 없다
실수하는 것은 좋은 일이다
실수는 즐거움이다.
내가 너의 작은 키스를 하는 것처럼.
그리고 그 귀여운 눈으로 날 바라봐
저는 괜찮아요.
나는 오늘 다시 태어났다
그리고 그 귀여운 눈으로 날 바라봐
저는 괜찮아요.
나는 오늘 다시 태어났다
너와 나, 너와 나, 너와 나, 너와 나, 그리고o)o)
너와 나, 너와 나, 너와 나, 그리고 저는
너와 나, 너와 나
너와 나, 너와 나
나는 누구에게도 굽실거리지 않는다
나는 그저 너의 미소를 머금고 있을 뿐이다
입 안쪽에 있는 작은 점이
내가 미쳤다면 네가 미쳤을 거야
하지만, 자기야, 다른 사람은 없듯이, 아니야.
너에게 일광욕을 선물하고 싶다.
해변에 가서 캐러콜을 찾아라.'
당신과 함께 있을 때, 저는 롤렉스를 보지 않습니다.
200개의 노래를 춤추러 가자.'
아무도 날 너처럼 부르지 않아
음, 음, 음...
음, 음, 음...
나는 신에게 말하고 너는 그의 대답이다
저는 '귀여운' 순간은 결코그렇게
마치 당신이 나에게 당신의 시선을 주었을 때,
해는 지고, 해는 지고, 해는 지고,뼈대
내가 네 위에 있을 때, 네 위에 있을 때
엄마, 나 이거 까먹었어.
여기에는 아무도 필요하지 않다
우리 둘이서만
해가 뜨고 액체가 가라앉기 전에밭갈이꾼
브레이크 없이 가다가 자제력을 잃도록 해
우리 둘이 애무하고 있잖아o''
그 와중에 작별 인사도 없이
그리고 그 귀여운 눈으로 날 바라봐
저는 괜찮아요.
나는 오늘 다시 태어났다
그리고 그 귀여운 눈으로 날 바라봐
저는 괜찮아요.
나는 오늘 다시 태어났다"
3,55IyYO6fmYpYw6Nd4YF7bw,3LdLGNKCW0dNr14JQlZPQt,"['bubblegum pop', ' folk rock']","2525년 작사 [합창 1]
2525년에
사람이 아직 살아있다면
여자가 살아남을 수 있다면
찾을지도 몰라

[합창2]
3535년에
진실을 말할 필요도 없고, 거짓말을 할 필요도 없다.
당신이 생각하고, 하고, 말하는 모든 것
오늘 드신 약에 들어있나요?
[합창 3]
4545년에
이빨도 필요없고 눈도 필요없을거야
씹을 만한 것은 아무것도 없을 것이다.
아무도 널 쳐다보지 않을 거야

[합창 4]
5555년에
너의 팔은 너의 옆구리에 축 늘어져 있다.
네 다리는 할 일이 없다.
어떤 기계가 당신을 위해 그렇게 하고 있어요.

[합창 5]
6565년에
남편도 아내도 필요 없을 거야
아들들도 딸도 딸도 딸 수 있어
긴 유리 튜브의 바닥에서
워-오-오-오

[합창 6]
7510년에
하느님이 오시면 그때쯤엔 꼭 오셔야죠
아마 그는 자신을 돌아보며 말할 것이다.
""판결할 때가 된 것 같군요!""

[합창 7]
8510년에
신은 그의 거대한 머리를 흔들 것이다.
그는 ""나는 기쁘다, 인간이 어디 갔었는지""라고 말할 것이다.
아니면 허물고 다시 시작하든지
워-오-오-오
[합창 8]
9595년에
난 좀 궁금해, 인간이 살아있을까?
그는 이 오래된 지구가 줄 수 있는 모든 것을 가져갔다.
그리고 그는 아무것도 돌려주지 않는다.
워-오-오-오

[다리]
이제 만년이 되었다.
인간은 10억의 눈물을 흘렸다.
그가 몰랐던 것 때문에
이제 인간의 통치는 끝났다.
하지만 영원한 밤을 통해
별빛의 반짝임
너무 멀리 있어
어제 일지도 몰라

[합창 1]
2525년에
사람이 아직 살아있다면
여자가 살아남을 수 있다면
찾을지도 몰라

[합창2]
3535년에
진실을 말할 필요도 없고, 거짓말을 할 필요도 없고...6Embed"
4,4mADBH1bN8alebB6pKjU9w,1ba35FVwUaQv6cGduL6Fr4,['canadian underground hip hop'],"합창단장 $upreme
하나는 돈이고, 하나는 호미다.
셋, 아래로 미끄러져 내려와
가자, 가자, 가자, 가자
가자, 가자, 가자, 가자!
돈 한 푼에 호미가 너무 많다.
, 에 입술을 대다
가자, 가자, 가자, 가자, 가자
놔, 놔, 놔, 놔!

1절 추장 $upreme
합창단장 $upreme
하나는 돈이고, 하나는 호미다.
셋, 아래로 미끄러져 내려와
가자, 가자, 가자, 가자
가자, 가자, 가자, 가자!
돈 한 푼에 너무 많은 돈
, 에 입술을 대다
가자, 가자, 가자, 가자, 가자
놔, 놔, 놔, 놔!

2절 릴 웨인
하나 더
깜둥이가 올라간 기분, 진짜 깜둥이가

그래, 만약 깜둥이들이 자기 기분대로 행동한다면
네가 알기를 바래
난 너와 함께 사는 모든 사람들에게 똑같이 할 거야.

합창단장 $upreme
하나는 돈이고, 하나는 호미다.
셋, 아래로 미끄러져 내려와
가자, 가자, 가자, 가자
가자, 가자, 가자, 가자!
돈 한 푼에 호미가 너무 많다.
, 에 입술을 대다
가자, 가자, 가자, 가자, 가자
놔, 놔, 놔, 놔!"
5,3TVXtAsR1Inumwj472S9r4,3F5CgOj3wFlRv51JsHbxhe,"['canadian hip hop', ' canadian pop', ' hip hop', ' rap', ' toronto rap']","다시 한 번 흔들린 몸을 깨워봐, 그래야 작동한다는 걸 알 수 있어.
(흔들린 몸을 다시 한번 깨워봐, 호, 너도 알잖아)
다시 한 번 흔들린 몸을 깨워봐, 그래야 작동한다는 걸 알 수 있어.
(흔들린 몸을 다시 한번 깨워봐, 호, 너도 알잖아)
그래, 인생
인생은 우리가 필요로 하는 유일한 것이다.
그들은 내가 가길 원하지만 난 떠나고 싶지 않아
릴 키드의 명복을 빕니다.
젠장, 난 올빼미야, 이건 다른 모드야
엄지발가락에 6을 칠하게 해야 할 것 같아
총을 쏘는 경비원이 있다는 말을 들었는데, 깜둥이한테 알려줘요.
가운데 줄 말고 코트 쪽으로 가 주세요
좋아, 자기야, 하지만 1분 안에
난 겁이 많은 여자라서 스트레스 받을 수 없어
그리고 난로 위에서 야망을 만들고 있어
항아리에 거품이 끼기 시작했어, 부글부글 끓는거 봐, 그거 가져가면 되잖아
호즈는 내가 상냥하다고 말하지만, RICO는 그럴 수 없어.
존 웨인이라고 생각해, 나는 그에게 노란 돌을 사주었다.
매달리는 모습이 너무 좋아, 자기, 실리콘을 씹어먹어
다들 가짜로 굴면 암호를 풀 수 있어
로즈골드를 배경으로 한 모든 것을 파괴하라.
내가 J. 콜인 것처럼 너희 깜둥이들에게 말하는 게 두려워
나도 모르는 사이에 그녀의 머리를 똑똑히 말할 수 있다.
이년아, 보그에 안 가봤으면 모델이라고 말하지 마
내 생일 파티를 열어야 해
스튜디오에는 없지만 뭔가 깔아줄 거야
'드라마 킹'에게 편히 잠드소서, 우린 직설적인 스턴트였어'
내 말투가 마음에 안 들어? 깜둥이가 뭐라고 해
내 생일 파티를 열어야 해
멈춰라, 그리고 우리인거 알잖아, 베이스 점프!
내 말투가 마음에 안 들어? 그럼 말 좀 해봐
내 얼굴을 치워, 깜둥아
내 생일 파티를 열어야 해
스튜디오에는 없지만 뭔가 깔아줄 거야
'드라마 킹'에게 편히 잠드소서, 우린 직설적인 스턴트였어'
내 깜둥이 21에게 말하면, 넌 겁쟁이야
주차할 곳이 없는 것처럼 블록을 두 번 돌립니다(21).
바트처럼 뒤통수를 후려친다.
OVO 4L, 어두워지면 나옵니다(21, 21)
큰 스텝퍼, 롤스로 왔는데 들것에 실려 나갔어요
내가 쏘는 동안 내 동생을 운전하게 해줘, 팀워크(21)
이런 질문을 하다니, 이년아, 넌 네가 나데스카라고 생각하겠지
헬기는 모든 상대에게 느끼는 걸 좋아하고, 그건 추행자(21)입니다.
난 내 총과 함께 있어. 로제이가 레몬 후추를 가지고 있는 것처럼
테슬라를 터트렸기 때문에 아프로바트를 듣고 싶어해요
그 흑인은 자신이 레슬링 선수라고 생각했을 것이다.
하지만 이건 UFC가 아니라 이 헬리콥터는 압축기(21)를 가지고 왔다.
이 헬리콥터는 압축기(푸시)와 함께 왔다.
그의 헬리콥터는...
이 Glock.45에는 스위치(21)가 포함되어 있습니다.
내가 윌 스미스였다면 몽둥이로 뺨을 때렸을 거야
손을 공중에 올려봐, 스틱업이야(21)
내 거시기가 빨려들게 하는 똑같은 후드를 돌려봐 (사실들)
만약 당신이 사업차 서 있다면, 당신의 블릭을 올려라 (21,21)
겁먹은 척하고 네 똥을 싸라 (21)
현기증 나는 사랑에 빠졌어 그래서 난 스펀지(21)
난 그 소년을 사랑했어, 그래, 그건 내 트위진(21)이야.
만약 깜둥이들이 계속 디스한다면, 아가진(21)을 미끄러뜨려라.
우리가 작전 수행원들에게 프리치 엔드가 없는 이유(21)
지난 번 나랑 놀던 깜둥이가 바보로 변했어
난 숲에 굴리지도 않았어 왜냐면 곰팡이가 피거든
그녀가 어떻게 지내는지 묻는다면, 나는 그냥 와서 나를 엿먹으라고 말한다.
이 깜둥이 행운아, 20번이나 총을 쐈어.
내 생일 파티를 열어야 해
스튜디오에는 없지만 뭔가 깔아줄 거야
'드라마 킹'에게 편히 잠드소서, 우린 직설적인 스턴트였어'
넌 내 말투가 맘에 안 들어, 깜둥아, 무슨 말이라도 해
뭐라고, 뭐라고, 뭐라고, 뭐라고, 뭐라고?
넌 내 말투가 맘에 안 들어, 깜둥아, 말 좀 해, 말 좀 해
뭐라고 해, 뭐라고 해, 뭐라고 해"
6,1LZEQNv7sE11VDY3SdxQeN,0eRHyLCekRpdkuuFu237b7,"['disco', ' mellow gold', ' soft rock']","땅에 귀를 기울이다.
사방에 움직임이 있다.
무슨 일이 일어나고 있다.
그리고 나는 느낄 수 있다.
공기의 파도에
밖에는 춤이 있다.
우리가 나눌 수 없는 거야
우린 훔칠 수 없어
그 상냥한 도시 여인
그녀는 불빛을 통해 움직였다.
내 마음과 영혼을 통제하고
네가 내게 손을 내밀면, 그래
그리고 그 느낌은 옳아
그리고 나서 나는 밤열, 밤열.
우리는 그것을 할 줄 안다.
내게 그날 밤 열병을 줘, 밤 열병
우린 그걸 보여줄 줄 알아.
나 여기 있어
이 순간이 지속되기를 기도합니다
음악에 기대어 사는 건 너무 좋아
바람을 타고 떠나다.
내 것으로 만드는 것
밤열, 밤열
우리는 그것을 할 줄 안다.
내게 그날 밤 열병을 줘, 밤 열병
우린 그걸 보여줄 줄 알아.
우리 사랑의 열기에
우리가 그것을 만드는 데 도움이 필요 없다.
적당히 주세요.
우리를 아침으로 데려가기 위해
내 마음속에 불이 났어.
난 걸을수록 더 높아져
그리고 난 어둠 속에서 빛나고 있어
경고해!
상냥한 도시 여인
그녀는 불빛을 통해 움직인다.
내 마음과 영혼을 통제하고
내게 손을 내밀면
그리고 그 느낌은 옳아
밤열, 밤열
우리는 그것을 할 줄 안다.
내게 그날 밤 열병을 줘, 밤 열병
우린 그걸 보여줄 줄 알아.
나 여기 있어
이 순간이 지속되기를 기도합니다
음악에 기대어 사는 건 너무 좋아
바람을 타고 떠나다.
내 것으로 만드는 것
밤열, 밤열
우리는 그것을 할 줄 안다.
내게 그날 밤 열병을 줘, 밤 열병
우린 그걸 보여줄 줄 알아.
내게 그날 밤 열병을 줘, 밤 열병
우리는 그것을 할 줄 안다.
내게 그날 밤 열병을 줘, 밤 열병
우린 그걸 보여줄 줄 알아.
내게 그날 밤 열병을 줘, 밤 열병
우리는 그것을 할 줄 안다."
7,5cj0lLjcoR7YOSnhnX0Po5,3DarAbFujv6eYNliUTyqtz,"['dance pop', ' pop']","우린 포옹하고 그래, 사랑을 해
그리고 항상 ""굿나잇""이라고 말해.
그리고 우린 꼭 껴안고, 물론, 난 그게 좋아
하지만 내 입술에 네 입술이 필요해
키스 좀 더 해줄래요?
우린 너무 어리다
우린 잃을 게 없어, 오, 오
그것은 원칙일 뿐이다.
자기야, 날 안아줘
난 네 그루브가 좋거든, 오, 오
네가 네 이름을 쓰면 나도 그렇게 할 수 있어
오, 난 그 맛이 좋아, 라라라
내 혀에, 난 그걸 원해 (la-la-la-la-la
네가 네 이름을 쓰면 나도 그렇게 할 수 있어
오, 난 그 맛이 좋아, 라라라라
내 혀에 온통, 난 그걸 원해
난, 뭔가 엿 같은 기분이야
하지만 우린 진부할 수 있어, 젠장
슈가, 난 멍청이가 아니야, 멍청아
""만약에?""라고 말하고 싶지만, 만약
키스하고 쓰레기 같은 건 그만둘 수 있어
그럼 내가 뭘 알아냈을지도 몰라
공공장소에서는 안 줄 거야
수백을 줄거야, 엿먹어머나.
우리가 해야 할 일이 있어
사랑니에 첫 번째, 중간, 마지막 사인하세요.
깜둥이들은 그 여자가 키스하는 부스였으면 좋겠다고
아침, 점심, 진, 주스를 맛보세요.
그리고 그 저녁식사도 디저트처럼
그리고 우리가 불어를 할 때, 기분 전환하고, 두 개 주세요.
내가 그 입술을 깨물면 나도 잡아와
립스틱, 립글로스, 딸꾹질도 하고 싶대
키스 좀 더 해줄래요?
우린 너무 어리다
우린 잃을 게 없어, 오, 오
그것은 원칙일 뿐이다.
자기야, 날 안아줘
난 네 그루브가 좋거든, 오, 오
네가 네 이름을 쓰면 나도 그렇게 할 수 있어
오, 난 그 맛이 좋아, 라라라
내 혀에, 난 그걸 원해 (la-la-la-la-la
네가 네 이름을 쓰면 나도 그렇게 할 수 있어
오, 난 그 맛이 좋아, 라라라라
내 혀에 온통, 난 그걸 원해
돈 한 푼만 달라고 해 그 거시기 같은 게 필요해
한계를 넘어요, 아뇨, 당신은 충분하지 않아요.
네 모든 깜둥이들은 네가 나 없이 졌다고 해
내 모든 개자식들이 내가 이 나라를 피한 것처럼 느껴져
감옥처럼 느껴져, 깜둥아
숨을 내쉬지도 못하겠어, 깜둥아
성배 같은 여자, 너도 알잖아
보석이 필요하게 만들 거야
네 친구와 함께 오줌을 싸다가 들켰어
넌 반쪽도 안 돼, 너한테 거짓말하는 거 알잖아
벽돌로 가득 찬 가방을 사줬지
컨트롤, 내가 뒤로 던지더라도 속도를 늦추지 마세요.
이 모든 똥꼬는 진짜야
드라마는 당신을 느끼게 한다 (당신을 느끼게 한다.
환상과 채찍의 호소
내가 줄 수 있는 건 이것뿐이야
키스 좀 더 해줄래요?
우린 너무 어리다
우린 잃을 게 없어, 오, 오
그것은 원칙일 뿐이다.
자기야, 날 안아줘
난 네 그루브가 좋거든, 오, 오
오, 자기야
네가 네 이름을 쓰면 나도 그렇게 할 수 있어
오, 난 그 맛이 좋아, 오-라-라-라-라-라
내 혀에 온통, 난 그걸 원해
네가 네 이름을 쓰면 나도 그렇게 할 수 있어
오, 맛이 너무 좋아, 오-라-라-라-라-라-라-라
내 혀에 온통, 난 그걸 원해"
8,4q3ewBCX7sLwd24euuV69X,1IHWl5LamUGEuP4ozKQSXZ,"['latin', ' reggaeton', ' trap latino']","[코러스: 나쁜 토끼]
야! 티티가 나에게 물었다.
내가 여자친구가 많으면 여자친구가 많아
오늘은 하나, 내일은 하나
이봐! 하지만 결혼식은 없어
티티는 나에게 여자친구가 그렇게 많냐고 물었다.
안녕! 많은 여자친구들
오늘은 하나, 내일은 하나

[포스트 코러스: 나쁜 토끼]
내가 전부 VIP한테 데려갈게, VIP!
티티에게 안부 전해줘
셀카 찍자, ""치즈""라고 해, 야!
내가 이미 웃게 해줘
귀빈, 귀빈, 야!
티티에게 안부 전해줘
셀카를 찍자, ""치즈""라고 말하자.
이미 나를 잊은 사람들이 웃게 해줘

[1절 나쁜 토끼]
나는 가브리엘라를 정말 좋아한다.
패트리샤, 니콜, 소피아
나의 유치원 첫 여자친구 마리아
그리고 내 첫사랑의 이름은 탈리아였다.
콜롬비아 여자가 매일 나한테 편지를 써
그리고 내가 알지도 못한 멕시코인
샌안토니오의 또 다른 사람은 여전히 나를 사랑해.
그리고 pr에서 나온 것들은 모두 내 것이다.
포도 봉본인 도미니카인
포도, 포도봉본
바르셀로나에서 비행기로 온 사람
그리고 내 dc가 나쁜 놈이라고 했어
나는 그들이 내 마음을 가지고 놀게 했다.
그들 모두와 함께 맨션으로 이사하고 싶습니다.
내가 결혼하는 날 너에게 청첩장을 보낼게.
이봐, 그만해, 이봐!

[코러스: 나쁜 토끼]
티티가 나에게 물었다.
내가 여자친구가 많으면 여자친구가 많아
오늘은 하나, 내일은 하나
이봐! 하지만 결혼식은 없어
티티는 나에게 여자친구가 그렇게 많냐고 물었다.
헤이! 헤이! 많은 여자친구들
오늘은 하나, 내일은 하나
(내일 또, Ther)

[포스트 코러스: 배드 버니 & 키코 엘 크레이지]
티티가 나에게 물었다.
Titi가 나에게 물었다(So good)
티티가 나에게 물었다.
티티가 나에게 물었다.
(하지만 이리와, 소년.
왜 그렇게 많은 여자 친구를 원하세요?

[교량: 나쁜 토끼]
내가 전부 VIP한테 데려갈게, VIP!
티티에게 안부 전해줘
셀카 찍자, ""치즈""라고 해, 야!
내가 이미 웃게 해줘
귀빈, 귀빈, 야!
티티에게 안부 전해줘
셀카를 찍자, ""치즈""라고 말하자.
이미 나를 잊은 사람들이 웃게 해줘

[인터럽트: 나쁜 토끼]
어이! 소년 랜덤 데빌
길거리에 있는 나쁜 삶을 버려라.
너 자신을 위해 진지한 여자를 찾아라.
소년 악마, 푸$y

[교량: 나쁜 토끼]
사랑에 빠지고 싶어요
하지만 할 수 없어, 하지만 할 수 없어, 어! 어!
사랑에 빠지고 싶어요
하지만 난 못해, 하지만 난 못해

[2절 나쁜 토끼]
미안, 난 못 믿어, 난 못 믿어
아니, 난 내 자신조차 믿지 않아
네가 춥다고 오늘 있고 싶다면
그리고 내일 떠나, Nah.
많은 사람들이 내 아기 그레이비를 원한다.
내 첫아이를 갖고 싶대, 야!
그리고 공로를 인정하라.
벌써 지루해.
오늘 나는 새로운 a$$$를 원한다.
새것, 새것.
새것, 새것, 새것 (헤이!)

[교량: 나쁜 토끼]
네 절친한 친구의 말을 들어라. 그녀가 옳다.
난 네 마음을 아프게 할 거야, 네 마음을 아프게 해
야! 날 사랑하지마 (안돼, 안 돼)
나한테 반하지 마, 안 돼, 야!
죄송해요, 제가 이렇게 (이렇게, 이렇게) 야!
내가 왜 이러는지 모르겠어 (야!)
친구 말 좀 들어 봐, 친구 말이 맞아
난 네 마음을 아프게 할 거야
마음을 아프게 해 (헤이!헤이!)
날 사랑하지 마 (No)
날 사랑하지 마, 안돼
미안, 내가 이러고 있어가지고.
난 더 이상 그렇게 되고 싶지 않아, 안돼."
9,6KImCVD70vtIoJWnq6nGn3,4LRPiXqCikLlN15c3yImP7,['pop'],"가사 그대로소개]
어서, 해리, 우리는 너에게 잘 자라고 말하고 싶어.

[1 절]
날 붙잡고
중력이 날 붙잡고 있어
나는 네가 손바닥을 내밀기를 바란다.
그쯤에서 그만두는 게 어때요?
말할 것도 없다
모든 것이 방해될 때론
당신은 대체될 수 없는 것 같군요.
그리고 난 남아있을 사람이고, 오오오
[코러스].
이 세상엔 우리만 있어
예전과 같지 않다는 거 알잖아
이 세상엔 우리만 있어
예전과 같지 않다는 거 알잖아
있는 그대로, 있는 그대로
그렇지 않다는 거 알잖아

[2 절]
전화를 받아라.
""해리, 너 혼자선 안 돼""
너는 왜 집에 바닥에 앉아 있니?
어떤 종류의 약을 복용하고 있습니까?""
벨을 울리다
아무도 도와주러 오지 않아
네 아빠는 혼자 사신다.
그는 단지 네가 잘 있는지 알고 싶어해, 오-오-오-오

[코러스].
이 세상엔 우리만 있어
예전과 같지 않다는 거 알잖아
이 세상엔 우리만 있어
예전과 같지 않다는 거 알잖아
있는 그대로, 있는 그대로
그렇지 않다는 거 알잖아
[다리]
집에 가서, 앞서 나가라, 광속 인터넷
예전처럼 말하고 싶지 않아
미국을 떠나면, 두 아이가 그녀를 따라간다.
누가 먼저 했는지 말하고 싶지 않아

[아웃트로]
(야)
그대로
예전과 같지 않다는 거 알잖아
원래대로, 182년 된 엠베드"
